# 方块元素（U+2580–U+259F）。用 Opus 5 重写：
# 上一版八个四分之一方块的详细读法都是「四分块」，这一轮点明方位。
# 格式：码位 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同）
2580	上半块	上半部填实、下半部留空的方块，与下半块上下互补
2581	下八分之一块	贴底的一条细实块，只占整格高度的八分之一，是竖向条形图最矮的一档
2582	下四分之一块	从底部往上填到四分之一高，比下八分之一块高一档
2583	下八分之三块	从底部往上填到八分之三高，介于四分之一与一半之间
2584	下半块	下半部填实、上半部留空，与上半块拼合成整格
2585	下八分之五块	从底部往上填过一半，到八分之五高
2586	下四分之三块	从底部往上填到四分之三高，比下八分之五块再高一档
2587	下八分之七块	从底部往上填到八分之七高，顶上只留一条细缝，是填满前的最后一档
2588	实心块	整格填满的全黑块，条形图或进度条到顶时用
2589	左八分之七块	从左边往右填到八分之七宽，右侧只留一条细缝
258A	左四分之三块	从左边往右填到四分之三宽
258B	左八分之五块	从左边往右填过一半，到八分之五宽
258C	左半块	左半部填实、右半部留空，与右半块左右互补
258D	左八分之三块	从左边往右填到八分之三宽，还不到一半
258E	左四分之一块	从左边往右填到四分之一宽
258F	左八分之一块	贴着左边的一条细竖实块，只占整格宽度的八分之一
2590	右半块	右半部填实、左半部留空，起笔在格子中线上
2591	浅阴影	浅色阴影块，网点最稀，是深浅三档里最淡的一档
2592	中阴影	中色阴影块，网点疏密居中，常用来铺灰底
2593	深阴影	深色阴影块，网点最密，接近全黑但仍留白点
2594	上八分之一块	贴顶的一条细实块，只占整格高度的八分之一，与下八分之一块上下对称
2595	右八分之一块	贴着右边的一条细竖实块，与左八分之一块左右对称
2596	左下四分块	整格四等分后只填左下角那一小格，其余三格留空
2597	右下四分块	整格四等分后只填右下角那一小格
2598	左上四分块	整格四等分后只填左上角那一小格
2599	缺右上四分块	四个小格里填了左上、左下、右下三格，只空出右上角
259A	左上右下对角块	只填左上和右下两个对角小格，是从左上斜到右下的一对
259B	缺右下四分块	四个小格里填了左上、右上、左下三格，只空出右下角
259C	缺左下四分块	四个小格里填了左上、右上、右下三格，只空出左下角
259D	右上四分块	整格四等分后只填右上角那一小格
259E	右上左下对角块	只填右上和左下两个对角小格，是从左下斜到右上的一对
259F	缺左上四分块	四个小格里填了右上、左下、右下三格，只空出左上角
