# 制表符与框线（U+2500–U+257F）。用 Opus 5 重写：
# 上一版把对角线 ╱ 和半线 ╵ 都读成了「竖线」，这一轮按字形分清线段、拐角、丁字、端头。
# 格式：码位 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同）
2500	横线	细的整条横线，画表格的横边
2501	粗横线	加粗的整条横线，比细横线醒目，常用来分节
2502	竖线	细的整条竖线，画表格的竖边
2503	粗竖线	加粗的整条竖线，常做外框的竖边
2504	三段虚横线	细横线断成三小段的虚线
2505	粗三段虚横线	粗横线断成三小段的虚线
2506	三段虚竖线	细竖线断成三小段的虚线
2507	粗三段虚竖线	粗竖线断成三小段的虚线
2508	四段虚横线	细横线断成四小段的虚线，比三段的更碎
2509	粗四段虚横线	粗横线断成四小段的虚线，比三段的更碎
250A	四段虚竖线	细竖线断成四小段的虚线，比三段的更碎
250B	粗四段虚竖线	粗竖线断成四小段的虚线，比三段的更碎
250C	左上角	细线左上角，从拐点向右画横、向下画竖
250D	左上角	左上角，向右的横边粗，向下的竖边细
250E	左上角	左上角，向下的竖边粗，向右的横边细
250F	粗左上角	左上角，向右的横边和向下的竖边都粗
2510	右上角	细线右上角，从拐点向左画横、向下画竖
2511	右上角	右上角，向左的横边粗，向下的竖边细
2512	右上角	右上角，向下的竖边粗，向左的横边细
2513	粗右上角	右上角，向左的横边和向下的竖边都粗
2514	左下角	细线左下角，从拐点向上画竖、向右画横
2515	左下角	左下角，向右的横边粗，向上的竖边细
2516	左下角	左下角，向上的竖边粗，向右的横边细
2517	粗左下角	左下角，向上的竖边和向右的横边都粗
2518	右下角	细线右下角，从拐点向上画竖、向左画横
2519	右下角	右下角，向左的横边粗，向上的竖边细
251A	右下角	右下角，向上的竖边粗，向左的横边细
251B	粗右下角	右下角，向上的竖边和向左的横边都粗
251C	左丁字	细线丁字，整条竖线在左，向右伸出一横
251D	左丁字	竖线在左且细，向右伸出的横粗
251E	左丁字	竖线在左，上半粗下半细，向右伸出细横
