# 盲文点位（U+2800–U+28FF）。由 Unicode 官方字符名机械生成，无需人工校对。
# 点号之间留空格，中文引擎才会逐位读成「一二四五」而不是「一千二百四十五」。
2800	空方	空方	# BRAILLE PATTERN BLANK
2801	点 1	盲文 点 1	# BRAILLE PATTERN DOTS-1
2802	点 2	盲文 点 2	# BRAILLE PATTERN DOTS-2
2803	点 1 2	盲文 点 1 2	# BRAILLE PATTERN DOTS-12
2804	点 3	盲文 点 3	# BRAILLE PATTERN DOTS-3
2805	点 1 3	盲文 点 1 3	# BRAILLE PATTERN DOTS-13
2806	点 2 3	盲文 点 2 3	# BRAILLE PATTERN DOTS-23
2807	点 1 2 3	盲文 点 1 2 3	# BRAILLE PATTERN DOTS-123
2808	点 4	盲文 点 4	# BRAILLE PATTERN DOTS-4
2809	点 1 4	盲文 点 1 4	# BRAILLE PATTERN DOTS-14
280A	点 2 4	盲文 点 2 4	# BRAILLE PATTERN DOTS-24
280B	点 1 2 4	盲文 点 1 2 4	# BRAILLE PATTERN DOTS-124
280C	点 3 4	盲文 点 3 4	# BRAILLE PATTERN DOTS-34
280D	点 1 3 4	盲文 点 1 3 4	# BRAILLE PATTERN DOTS-134
280E	点 2 3 4	盲文 点 2 3 4	# BRAILLE PATTERN DOTS-234
280F	点 1 2 3 4	盲文 点 1 2 3 4	# BRAILLE PATTERN DOTS-1234
2810	点 5	盲文 点 5	# BRAILLE PATTERN DOTS-5
2811	点 1 5	盲文 点 1 5	# BRAILLE PATTERN DOTS-15
2812	点 2 5	盲文 点 2 5	# BRAILLE PATTERN DOTS-25
2813	点 1 2 5	盲文 点 1 2 5	# BRAILLE PATTERN DOTS-125
2814	点 3 5	盲文 点 3 5	# BRAILLE PATTERN DOTS-35
2815	点 1 3 5	盲文 点 1 3 5	# BRAILLE PATTERN DOTS-135
2816	点 2 3 5	盲文 点 2 3 5	# BRAILLE PATTERN DOTS-235
2817	点 1 2 3 5	盲文 点 1 2 3 5	# BRAILLE PATTERN DOTS-1235
2818	点 4 5	盲文 点 4 5	# BRAILLE PATTERN DOTS-45
2819	点 1 4 5	盲文 点 1 4 5	# BRAILLE PATTERN DOTS-145
281A	点 2 4 5	盲文 点 2 4 5	# BRAILLE PATTERN DOTS-245
281B	点 1 2 4 5	盲文 点 1 2 4 5	# BRAILLE PATTERN DOTS-1245
281C	点 3 4 5	盲文 点 3 4 5	# BRAILLE PATTERN DOTS-345
281D	点 1 3 4 5	盲文 点 1 3 4 5	# BRAILLE PATTERN DOTS-1345
281E	点 2 3 4 5	盲文 点 2 3 4 5	# BRAILLE PATTERN DOTS-2345
281F	点 1 2 3 4 5	盲文 点 1 2 3 4 5	# BRAILLE PATTERN DOTS-12345
2820	点 6	盲文 点 6	# BRAILLE PATTERN DOTS-6
2821	点 1 6	盲文 点 1 6	# BRAILLE PATTERN DOTS-16
2822	点 2 6	盲文 点 2 6	# BRAILLE PATTERN DOTS-26
2823	点 1 2 6	盲文 点 1 2 6	# BRAILLE PATTERN DOTS-126
2824	点 3 6	盲文 点 3 6	# BRAILLE PATTERN DOTS-36
2825	点 1 3 6	盲文 点 1 3 6	# BRAILLE PATTERN DOTS-136
2826	点 2 3 6	盲文 点 2 3 6	# BRAILLE PATTERN DOTS-236
2827	点 1 2 3 6	盲文 点 1 2 3 6	# BRAILLE PATTERN DOTS-1236
2828	点 4 6	盲文 点 4 6	# BRAILLE PATTERN DOTS-46
2829	点 1 4 6	盲文 点 1 4 6	# BRAILLE PATTERN DOTS-146
282A	点 2 4 6	盲文 点 2 4 6	# BRAILLE PATTERN DOTS-246
282B	点 1 2 4 6	盲文 点 1 2 4 6	# BRAILLE PATTERN DOTS-1246
282C	点 3 4 6	盲文 点 3 4 6	# BRAILLE PATTERN DOTS-346
282D	点 1 3 4 6	盲文 点 1 3 4 6	# BRAILLE PATTERN DOTS-1346
282E	点 2 3 4 6	盲文 点 2 3 4 6	# BRAILLE PATTERN DOTS-2346
282F	点 1 2 3 4 6	盲文 点 1 2 3 4 6	# BRAILLE PATTERN DOTS-12346
2830	点 5 6	盲文 点 5 6	# BRAILLE PATTERN DOTS-56
2831	点 1 5 6	盲文 点 1 5 6	# BRAILLE PATTERN DOTS-156
2832	点 2 5 6	盲文 点 2 5 6	# BRAILLE PATTERN DOTS-256
2833	点 1 2 5 6	盲文 点 1 2 5 6	# BRAILLE PATTERN DOTS-1256
2834	点 3 5 6	盲文 点 3 5 6	# BRAILLE PATTERN DOTS-356
2835	点 1 3 5 6	盲文 点 1 3 5 6	# BRAILLE PATTERN DOTS-1356
2836	点 2 3 5 6	盲文 点 2 3 5 6	# BRAILLE PATTERN DOTS-2356
2837	点 1 2 3 5 6	盲文 点 1 2 3 5 6	# BRAILLE PATTERN DOTS-12356
2838	点 4 5 6	盲文 点 4 5 6	# BRAILLE PATTERN DOTS-456
2839	点 1 4 5 6	盲文 点 1 4 5 6	# BRAILLE PATTERN DOTS-1456
283A	点 2 4 5 6	盲文 点 2 4 5 6	# BRAILLE PATTERN DOTS-2456
283B	点 1 2 4 5 6	盲文 点 1 2 4 5 6	# BRAILLE PATTERN DOTS-12456
