# 人工重写的 emoji 读法：脸、手势、身体部位、心形、气泡、月亮脸。
# 标准：简洁名走「明眼人会怎么称呼它」，详细档走「视觉信息 + 常见用法」。
#   1. 有公认中文叫法就用它，别改；2. 没有就用最能辨认的视觉特征造短名；
#   3. 不许重名；4. 简洁名不写含义；5. 含义一律写「常表示」，因为它依赖上下文。
# 由 Opus 5 分批生成，码位与字符对应、简洁名长度、重名均已逐条校验。
261D FE0F	竖起食指	竖起食指：手侧对着，竖起一根食指。常表示等一下、划重点、数字一
2620 FE0F	骷髅交叉骨	骷髅交叉骨：骷髅头下面交叉两根骨头。常表示危险、有毒、致命
2639 FE0F	愁眉苦脸	愁眉苦脸：眉毛下垂、嘴角明显下弯。常表示难过、不满、失望
263A FE0F	微笑	微笑：眼睛弯成月牙、嘴角上扬、双颊微红。常表示温和、满意、友好
270A	举起拳头	举起拳头：手背朝外的握拳，举在身前。常表示加油、团结、挺住
270B	手掌	手掌：手掌竖起，五指并拢，掌心朝前。常表示停、举手、击掌
270C FE0F	剪刀手	剪刀手：食指中指伸直分开，掌心朝前。常表示耶、胜利；掌心朝内在英国属冒犯
270D FE0F	写字的手	写字的手：一只手握笔在纸上写字。常表示记下、签字、我在写
2763 FE0F	心形感叹号	心形感叹号：一颗红心下面一个圆点，合成感叹号。常表示强调、爱意
2764 FE0F	红心	红心：纯红色的爱心。常表示喜欢、爱、感谢
2764 FE0F 200D 1F525	燃烧的心	燃烧的心：红心被橙色火焰包住。常表示热恋、上头、强烈的爱
2764 FE0F 200D 1FA79	创可贴的心	创可贴的心：红心上贴着一条米色绷带。常表示疗伤、慢慢好转
1F31A	黑脸月亮	黑脸月亮：深色新月上一张浅笑的脸。常表示阴阳怪气、无语、调侃
1F31B	左弯月脸	左弯月脸：朝左的弯月，侧面有一张笑脸。常表示晚安、俏皮
1F31C	右弯月脸	右弯月脸：朝右的弯月，侧面有一张笑脸。常表示晚安、俏皮
1F31D	白脸月亮	白脸月亮：明亮的满月上一张笑脸。常表示天真、卖萌，也作反讽
1F31E	太阳脸	太阳脸：橙黄的太阳中间一张笑脸。常表示晴天、心情好
1F440	一双眼睛	一双眼睛：一对睁大的眼睛，眼珠偏向左边。常表示在看、吃瓜、注意到了
1F441 FE0F	一只眼睛	一只眼睛：单只睁开的眼睛，正面看着你。常表示我在看着、监视
1F441 FE0F 200D 1F5E8 FE0F	眼睛气泡	眼睛气泡：一只眼睛压在深色对话气泡上。原为反霸凌活动标志，少见
1F442	耳朵	耳朵：一只侧面的耳朵。常表示在听、听说、注意听
1F443	鼻子	鼻子：一个侧面的鼻子。常表示闻到了、气味、嗅觉
1F444	红嘴唇	红嘴唇：一对涂了红口红的嘴唇。常表示亲一个、说话、性感
1F445	舌头	舌头：一条伸出的粉色舌头。常表示馋、调皮；也有性暗示，慎用
1F446	食指向上指	食指向上指：手背朝外，食指朝上指。常表示看上面、同上
1F447	食指向下指	食指向下指：手背朝外，食指朝下指。常表示看下面、往下翻
1F448	食指向左指	食指向左指：手背朝外，食指指向左边。常表示看左边、指那个
1F449	食指向右指	食指向右指：手背朝外，食指指向右边。常表示看这里、指下文
1F44A	出拳	出拳：拳头正对着看的人，指节朝前。常表示碰拳打招呼、揍你
1F44B	挥手	挥手：手掌张开、掌心朝前左右摆动。常表示打招呼、再见
1F44C	OK 手势	OK 手势：拇指与食指捏成圆圈，其余三指伸直。常表示好的、可以；西方部分地区视为冒犯
1F44D	点赞	点赞：握拳竖起大拇指。常表示赞同、好的、干得漂亮
1F44E	拇指向下	拇指向下：握拳大拇指朝下。常表示反对、差评、不行
1F44F	鼓掌	鼓掌：两只手掌相击。常表示称赞、欢迎，也可阴阳怪气
1F450	张开双手	张开双手：两只手掌张开朝前，像要抱人。常表示拥抱、敞开、给你
1F479	红鬼脸	红鬼脸：日本传说里的鬼、红脸两只角、獠牙瞪眼
1F47A	长鼻天狗	长鼻天狗：日本天狗面具、红脸、长长的鼻子、皱眉瞪眼
1F47B	幽灵	幽灵：白色圆头、下摆飘成波浪、张嘴吐舌、双手举起。常表示搞怪、装鬼吓人
1F47D	外星人	外星人：灰绿色大头、尖下巴、两只黑色大眼睛
1F47E	像素小怪	像素小怪：紫色方块拼成的小怪物、两只眼两条触角。常表示游戏、电玩
1F47F	怒脸恶魔	怒脸恶魔：紫脸、头顶两只角、眉头紧皱嘴角向下。常表示愤怒、坏心眼
1F480	骷髅头	骷髅头：白色人头骨、两个黑眼窝、露出上牙。常表示死了、笑死，年轻人常用
1F485	涂指甲油	涂指甲油：一只手在涂指甲，另一手拿刷子。常表示美甲、精致、不屑
1F48B	唇印	唇印：一枚红色嘴唇印子。常表示亲吻、示好，带调情意味
1F48C	情书	情书：白色信封正面一颗红心。常表示告白、表达心意
1F493	心跳	心跳：粉红心旁边有一道跳动的波纹。常表示心动、怦怦跳
1F494	心碎	心碎：红色的心从中间裂成两半。常表示伤心、失恋、心疼
1F495	两颗心	两颗心：一大一小两颗粉红心并排。常表示喜欢、恩爱、可爱
1F496	闪亮的心	闪亮的心：粉红心周围围着一圈小星星在闪。常表示喜欢、开心、赞美
1F497	变大的心	变大的心：粉红心外面套着几圈逐渐放大的轮廓。常表示心动、越来越喜欢
1F498	一箭穿心	一箭穿心：红心被一支箭斜着穿过。常表示怦然心动、坠入爱河
1F499	蓝心	蓝心：蓝色的爱心。常表示喜欢，颜色多为搭配
1F49A	绿心	绿心：绿色的爱心。常表示喜欢，颜色多为搭配
1F49B	黄心	黄心：黄色的爱心。常表示喜欢，颜色多为搭配
1F49C	紫心	紫心：紫色的爱心。常表示喜欢，颜色多为搭配
1F49D	蝴蝶结心	蝴蝶结心：粉红心上系着黄色缎带蝴蝶结。常表示送礼、心意
1F49E	旋转双心	旋转双心：两颗粉红心互相绕着转圈。常表示相爱、甜蜜
1F49F	方块白心	方块白心：紫色圆角方块中间一颗白心
1F4A2	怒气符号	怒气符号：红色十字形的爆青筋标记，漫画里画在额头。常表示生气、火大
1F4A4	睡着	睡着：三个蓝色字母 Z，由小到大斜排。常表示睡觉、犯困、无聊
1F4A5	爆炸	爆炸：黄红相间的星状爆开图形。常表示炸了、震惊、冲突
1F4A6	汗滴	汗滴：三滴蓝色水珠向斜上方飞溅。常表示流汗、辛苦；网络上也用作性暗示
1F4A8	一阵风	一阵风：三道灰色气流线条向右冲出。常表示跑开、速度快；也指放屁
1F4A9	便便	便便：褐色螺旋状一坨，带笑眼和微笑嘴。常表示垃圾、烂，也用来搞笑
1F4AA	肌肉	肌肉：手臂弯起，上臂鼓起一块肌肉。常表示加油、我很强、健身
1F4AB	转圈星星	转圈星星：一颗黄色星星拖着一道弧形尾迹。常表示头晕、眼冒金星
1F4AC	对话气泡	对话气泡：白色椭圆气泡，左下角带小尾巴。常表示说话、评论、聊天
1F4AD	想法气泡	想法气泡：白色云朵状气泡，下面跟着两个小圆点。常表示心里想、幻想
1F4AF	一百分	一百分：红色手写的一百，下面两道横线。常表示满分、绝对同意、真的
1F573 FE0F	地洞	地洞：地面上一个黑色的圆洞。常表示无地自容、想钻地缝
1F590 FE0F	五指张开	五指张开：手掌举起，五根手指分得很开，掌心朝前。常表示打招呼、停
1F595	竖中指	竖中指：只伸出中指，手背朝外。是骂人的侮辱手势，慎用
1F596	瓦肯举手礼	瓦肯举手礼：掌心朝前，中指与无名指之间分开成八字。出自星际迷航
1F5A4	黑色心	黑色心：黑色的爱心。常表示心情低落、暗黑风格
1F5E8 FE0F	左向对话气泡	左向对话气泡：黑白或深灰的椭圆气泡，尾巴在左下角
1F5EF FE0F	愤怒气泡	愤怒气泡：边缘带尖刺的锯齿形气泡，尾巴朝右。常表示喊叫、发火
1F600	露齿笑	露齿笑：圆眼睁开、嘴大张露出上排牙。常表示开心、打招呼
1F601	呲牙笑	呲牙笑：眼睛弯成月牙、咧嘴露出上下两排牙。常表示开心、憨笑
