# 带圈与带括号的字母数字（U+2460–U+24FF）。用 Opus 5 重写，
# 上一版详细读法大面积重复（多个条目都读「带圈数字 1」），这一轮逐条区分。
# 格式：码位 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同）
2460	带圈 1	圆圈里包着一位数 1，常做列表序号
2461	带圈 2	圆圈里包着一位数 2，常做列表序号
2462	带圈 3	圆圈里包着一位数 3，常做列表序号
2463	带圈 4	圆圈里包着一位数 4，常做列表序号
2464	带圈 5	圆圈里包着一位数 5，常做列表序号
2465	带圈 6	圆圈里包着一位数 6，常做列表序号
2466	带圈 7	圆圈里包着一位数 7，常做列表序号
2467	带圈 8	圆圈里包着一位数 8，常做列表序号
2468	带圈 9	圆圈里包着一位数 9，常做列表序号
2469	带圈 10	圆圈里包着两位数 10，常做列表序号
246A	带圈 11	圆圈里包着两位数 11，常做列表序号
246B	带圈 12	圆圈里包着两位数 12，常做列表序号
246C	带圈 13	圆圈里包着两位数 13，常做列表序号
246D	带圈 14	圆圈里包着两位数 14，常做列表序号
246E	带圈 15	圆圈里包着两位数 15，常做列表序号
246F	带圈 16	圆圈里包着两位数 16，常做列表序号
2470	带圈 17	圆圈里包着两位数 17，常做列表序号
2471	带圈 18	圆圈里包着两位数 18，常做列表序号
2472	带圈 19	圆圈里包着两位数 19，常做列表序号
2473	带圈 20	圆圈里包着两位数 20，常做列表序号
2474	带括号 1	一对圆括号夹着一位数 1，常做列表序号
2475	带括号 2	一对圆括号夹着一位数 2，常做列表序号
2476	带括号 3	一对圆括号夹着一位数 3，常做列表序号
2477	带括号 4	一对圆括号夹着一位数 4，常做列表序号
2478	带括号 5	一对圆括号夹着一位数 5，常做列表序号
2479	带括号 6	一对圆括号夹着一位数 6，常做列表序号
247A	带括号 7	一对圆括号夹着一位数 7，常做列表序号
247B	带括号 8	一对圆括号夹着一位数 8，常做列表序号
247C	带括号 9	一对圆括号夹着一位数 9，常做列表序号
247D	带括号 10	一对圆括号夹着两位数 10，常做列表序号
247E	带括号 11	一对圆括号夹着两位数 11，常做列表序号
247F	带括号 12	一对圆括号夹着两位数 12，常做列表序号
2480	带括号 13	一对圆括号夹着两位数 13，常做列表序号
2481	带括号 14	一对圆括号夹着两位数 14，常做列表序号
2482	带括号 15	一对圆括号夹着两位数 15，常做列表序号
2483	带括号 16	一对圆括号夹着两位数 16，常做列表序号
2484	带括号 17	一对圆括号夹着两位数 17，常做列表序号
2485	带括号 18	一对圆括号夹着两位数 18，常做列表序号
2486	带括号 19	一对圆括号夹着两位数 19，常做列表序号
2487	带括号 20	一对圆括号夹着两位数 20，常做列表序号
2488	点号 1	一位数 1 后面跟一个句点，常做列表序号
2489	点号 2	一位数 2 后面跟一个句点，常做列表序号
248A	点号 3	一位数 3 后面跟一个句点，常做列表序号
248B	点号 4	一位数 4 后面跟一个句点，常做列表序号
248C	点号 5	一位数 5 后面跟一个句点，常做列表序号
248D	点号 6	一位数 6 后面跟一个句点，常做列表序号
248E	点号 7	一位数 7 后面跟一个句点，常做列表序号
