# 国际音标（IPA）。简洁档读中文音理简称，详细档读盲文点位加完整音理。
# 覆盖范围与 ICEB IPA Braille 对齐：它收的音标符号我们全收，逐条核对过点位。
# 点位取自 liblouis 的 IPA.utb / IPA-unicode-range.uti（LGPL-2.1+，
# 2025 年版权方含 IPA Braille 作者 Robert Englebretson 本人）。
# 中文音理描述由表注释里的英文描述用受控词表**机械翻译**，不经模型推断；
# 简洁档的简称再由音理描述按固定规则派生（响音去「浊」、不圆唇作展唇、次闭次前作次闭前）。
# 三类刻意不收，收了会误伤普通文字：
#   æ ç ð ø č œ š ž ǰ —— 西文里就是字母，读点位会把 façade、Čapek 读坏。
#                        需要读音标教材时，导入 tools/data/ipa-letters.tsv 即可补齐。
#   β θ χ —— 希腊字母，数理材料里出现得多得多，走希腊字母读法。
#   ‖ ↑ ↓ → ↗ ↘ ⁿ —— 各有本职读法（竖线、箭头、上标），走原读法。
0127	清咽擦音	点 2 3 5 点 1 2 5 清咽擦音	# voiceless pharyngeal fricative
014B	软腭鼻音	点 1 2 4 6 浊软腭鼻音	# voiced velar nasal
01C0	齿搭嘴音	点 1 2 3 4 6 点 1 4 5 6 齿搭嘴音	# dental click
01C1	齿龈边搭嘴音	点 1 2 3 4 6 点 1 2 3 齿龈边搭嘴音	# alveolar lateral click
01C2	龈腭搭嘴音	点 1 2 3 4 6 点 1 5 6 龈腭搭嘴音	# palatoalveolar click
01C3	齿龈搭嘴音	点 1 2 3 4 6 点 2 3 4 5 齿龈搭嘴音	# (post-)alveolar click
0250	次开央元音	点 2 3 5 点 1 次开央元音	# near-open central vowel
0251	开后展唇元音	点 1 6 开后不圆唇元音	# open back unrounded vowel
0252	开后圆唇元音	点 2 3 5 点 1 6 开后圆唇元音	# open back rounded vowel
0253	浊双唇内爆音	点 2 3 6 点 1 2 浊双唇内爆音	# voiced bilabial implosive
0254	半开后圆唇元音	点 1 2 6 半开后圆唇元音	# open-mid back rounded vowel
0255	清龈腭擦音	点 2 3 6 点 1 4 清龈腭擦音	# voiceless alveolopalatal fricative
0256	浊卷舌塞音	点 2 5 6 点 1 4 5 浊卷舌塞音	# voiced retroflex plosive
0257	浊齿龈内爆音	点 2 3 6 点 1 4 5 浊齿龈内爆音	# voiced dental/alveolar implosive
0258	半闭央展唇元音	点 2 3 5 点 1 5 半闭央不圆唇元音	# close-mid central unrounded vowel
0259	中央元音	点 2 6 中央元音	# mid central vowel
025A	卷舌中央元音	点 2 6 点 5 点 1 2 3 5 卷舌中央元音	# r-colored mid central vowel
025B	半开前展唇元音	点 3 4 5 半开前不圆唇元音	# open-mid front unrounded vowel (IPA Extensions here, greek epsilon is \x03B5)
025C	半开央展唇元音	点 2 3 5 点 3 4 5 半开央不圆唇元音	# open-mid central unrounded vowel
025E	半开央圆唇元音	点 2 3 6 点 3 4 5 半开央圆唇元音	# open-mid central rounded vowel
025F	浊硬腭塞音	点 3 5 点 2 4 5 浊硬腭塞音	# voiced palatal plosive
0260	浊软腭内爆音	点 2 3 6 点 1 2 4 5 浊软腭内爆音	# voiced velar implosive
0261	浊软腭塞音	点 1 2 4 5 浊软腭塞音	# voiced velar plosive
0262	浊小舌塞音	点 3 5 点 1 2 4 5 浊小舌塞音	# voiced uvular plosive
0263	浊软腭擦音	点 4 6 点 1 2 4 5 浊软腭擦音	# voiced velar fricative (IPA Extensions here, greek gamma is \x03B3)
0264	半闭后展唇元音	点 2 3 5 点 1 3 5 半闭后不圆唇元音	# close-mid back unrounded vowel
0265	唇化硬腭近音	点 2 5 6 点 1 2 5 浊唇化硬腭近音	# voiced labial-palatal approximant
0266	浊声门擦音	点 2 3 6 点 1 2 5 浊声门擦音	# voiced glottal fricative
0267	清龈后软腭擦音	点 2 3 6 点 1 2 4 6 同时发清龈后软腭擦音	# simultaneous voiceless postalveolar and velar fricative
0268	闭央展唇元音	点 3 5 6 点 2 4 闭央不圆唇元音	# close central unrounded vowel
026A	次闭前展唇元音	点 3 4 次闭次前不圆唇元音	# near-close near-front unrounded vowel
026B	软腭化齿龈边近音	点 2 3 5 点 1 2 3 软腭化浊齿龈边近音	# velarized voiced alveolar lateral approximant
026C	清齿龈边擦音	点 2 3 6 点 1 2 3 清齿龈边擦音	# voiceless alveolar lateral fricative
