# 数学符号。用 Opus 5 逐块重写，覆盖到 Unicode 各数学块的全部已分配码位。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
2022	圆点		# BULLET
2030	千分之		# PER MILLE SIGN
2031	万分之		# PER TEN THOUSAND SIGN
2032	分		# PRIME	?after_latin=导数
2033	秒		# DOUBLE PRIME	?after_latin=二阶导数
2034	三分		# TRIPLE PRIME
2044	分数线		# FRACTION SLASH
2070	上标 0	上标的零，写在右上角表示零次方，也用作脚注序号
2071	上标 i	拉丁小写字母 i 的上标形式，数学里写在右上角当角标或指数
2074	上标 4	上标的四，接在数字后面表示四次方，和平方立方同一族
2075	上标 5	上标的五，接在数字后面表示五次方
2076	上标 6	上标的六，接在数字后面表示六次方
2077	上标 7	上标的七，接在数字后面表示七次方
2078	上标 8	上标的八，接在数字后面表示八次方
2079	上标 9	上标的九，接在数字后面表示九次方
207A	上标加	写在右上角的加号，化学式里标正电荷，如钠离子的那个加号
207B	上标减	写在右上角的减号，化学式里标负电荷，如氯离子的那个减号
207C	上标等于	写在右上角的等号，位置比普通等号高，多见于数学排版
207D	上标左括号	右上角位置的左圆括号，用来括住指数或角标
207E	上标右括号	右上角位置的右圆括号，和上标左括号配对
207F	上标 n	拉丁小写字母 n 的上标形式，写在右上角表示任意的次方
2080	下标 0	右下角的零，做角标用，常表示初始值或第零项
2081	下标 1	右下角的一，做角标用，常表示第一个量
2082	下标 2	右下角的二，化学式里表示两个原子，如水分子里的氢
2083	下标 3	右下角的三，化学式里表示三个原子，如氨里的氢
2084	下标 4	右下角的四，化学式里表示四个原子，如甲烷里的氢
2085	下标 5	右下角的五，做角标，也可表示五个原子
2086	下标 6	右下角的六，化学式里表示六个原子，如葡萄糖里的碳
2087	下标 7	右下角的七，做角标，也可表示七个原子
2088	下标 8	右下角的八，做角标，也可表示八个原子
2089	下标 9	右下角的九，做角标，也可表示九个原子
208A	下标加	写在右下角的加号，位置比普通加号低，用作角标
208B	下标减	写在右下角的减号，位置比普通减号低，用作角标
208C	下标等于	写在右下角的等号，位置比普通等号低，用作角标
208D	下标左括号	右下角位置的左圆括号，用来括住下标内容
208E	下标右括号	右下角位置的右圆括号，和下标左括号配对
2090	下标 a	拉丁小写字母 a 的下标形式，写在变量右下角当角标
2091	下标 e	拉丁小写字母 e 的下标形式，物理里常见于电子质量这类角标
