# 其他符号：技术、几何、装饰、标点、带圈 CJK 等。用 Opus 5 逐块重写。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00A1	倒感叹号	上下颠倒的感叹号，西班牙语感叹句开头用
00A2	美分	一美元的百分之一，也用在其他以分为辅币的货币上
00A3	英镑	英国的货币单位，埃及、叙利亚等国的镑也用它
00A4	货币符号	圆圈四角带短线，不指明具体币种时的通用写法
00A5	元	日元和人民币共用这个货币号，中文里通常指人民币
00A6	断竖线	中间断开的竖线，区别于完整的一条竖线
00A7	节号	法律条文和技术文档里标注章节编号
00A8	分音符	字母上方并排两点，德语里标元音变读，法语里标分开发音
00A9	版权	声明作品的著作权归属，后面通常跟年份和权利人
00AA	阴性序数	西班牙语葡萄牙语里阴性序数词的上标结尾
00AC	非	逻辑运算取反，一条横线右端向下折
00AE	注册商标	表示商标已经注册登记，受法律保护
00AF	长音符	字母正上方一条横线，标长元音
00B0	度	角度和温度共用的小圆圈，写在数字右上角
00B1	正负	表示误差范围，或者两个相反的取值
00B2	平方	右上角的上标二，也用于面积单位的次方
00B3	立方	右上角的上标三，也用于体积单位的次方
00B4	锐音符	字母上方从左下斜向右上的短撇，标重音或声调
00B5	微	国际单位制词头，百万分之一，如微米、微秒，字形取自希腊字母缪
00B6	段落号	标示新段落的开头，排版和校对里常用
00B8	软音符	挂在字母底下的小弯钩，法语等语言用它改变字母读音
00B9	上标一	右上角的上标一，常用作脚注编号
00BA	阳性序数	西班牙语葡萄牙语里阳性序数词的上标结尾，形状很像度的小圆圈
00BC	四分之一
00BD	二分之一
00BE	四分之三
00BF	倒问号	上下颠倒的问号，西班牙语疑问句开头用
00D7	乘	算式里的乘号，也用于长宽尺寸和向量叉乘
00F7	除以	算式里的除号，一条横线上下各一个点
2011	连接号	不换行连接号	# NON-BREAKING HYPHEN
2012	破折号	数字破折号	# FIGURE DASH
2016	双竖线		# DOUBLE VERTICAL LINE
2017	双下划线		# DOUBLE LOW LINE
2020	剑号	单剑号	# DAGGER
2021	双剑号		# DOUBLE DAGGER
2023	三角项目符	实心三角项目符	# TRIANGULAR BULLET
2024	点	单点省略符	# ONE DOT LEADER
2035	反撇号	向左倾的撇号，撇号的左右镜像
2036	反双撇号	两道向左倾的撇，双撇号的镜像
2037	反三撇号	三道向左倾的撇，三撇号的镜像
2038	插入号	校对时写在行下的尖角，标出要插进来的地方
203B	参考号	参考标记	# REFERENCE MARK
203D	问叹号	反讽号	# INTERROBANG
203E	上划线		# OVERLINE
2040	连字弧	跨在两个字符上方的弧线，表示两者连读为一体
2041	插入号	尖角上再加一竖，校对时更精确地指出插入位置
2042	三星号		# ASTERISM
2043	项目符	连字符项目符	# HYPHEN BULLET
2045	带羽左方括号	左方括号，上下两端各挑出一道斜笔
2046	带羽右方括号	右方括号，上下两端各挑出一道斜笔
2047	双问号		# DOUBLE QUESTION MARK
2048	问叹号	问号加感叹号	# QUESTION EXCLAMATION MARK
2049	叹问号	感叹号加问号	# EXCLAMATION QUESTION MARK
204A	爱尔兰与号	古罗马速记留下的符号，爱尔兰文用它表示和
204B	反向段落号	段落号的左右镜像
204C	左向实心项目符号	实心圆点带一个朝左的尖端，用来起列表条目
204D	右向实心项目符号	实心圆点带一个朝右的尖端，用来起列表条目
204E	下星号	下方星号	# LOW ASTERISK
204F	反向分号	分号的左右镜像，下面的逗号尾巴朝另一边
2050	合拢记号	校对记号，表示删掉中间的空隙把前后接上
2051	双星号	竖排双星号	# TWO ASTERISKS ALIGNED VERTICALLY
2052	商用减号	斜线上下各带一点，商业记账里当减号用
2053	波浪号		# SWUNG DASH
2054	倒连字弧	写在字符下方、拱口朝下的弧线
2055	花标	花形标点	# FLOWER PUNCTUATION MARK
2056	三点标点	三个点排成三角形
2057	四撇号	四道连排的撇，写在右上角
2058	四点标点	四个点排成一组的分隔标点
2059	五点标点	四角各一点，中间再加一点
205A	两点标点	上下排列的两个点，与冒号同形的另一个标点
205B	四点记号	四个点聚成一组，与四点标点是两个不同的字符
205C	带点十字	一个十字，四个角上各带一点
205D	竖排三点	三个点上下竖着排开
205E	竖排四点	四个点上下竖着排开
20A0	旧欧洲货币	欧元符号启用之前的欧洲货币写法，不是欧元
20A1	科朗	哥斯达黎加的货币科朗，萨尔瓦多也用过
20A2	克鲁塞罗	巴西旧货币克鲁塞罗，后来换成雷亚尔
20A3	法郎	法国法郎，欧元启用前的法国货币
20A4	里拉	意大利里拉，比英镑写法多一道横杠
20A5	密尔	一千分之一美元的记账单位
20A6	奈拉	尼日利亚货币奈拉
20A7	比塞塔	西班牙旧货币比塞塔，欧元启用前使用
20A8	卢比	通用卢比，巴基斯坦、斯里兰卡等国使用，写法与印度卢比不同
20A9	韩元	韩国和朝鲜的货币单位圆
20AA	谢克尔	以色列的新谢克尔
20AB	越南盾
20AC	欧元	欧元区通用货币
20AD	基普	老挝货币基普
20AE	图格里克	蒙古国货币图格里克
20AF	德拉克马	希腊旧货币德拉克马，欧元启用前使用
20B0	芬尼	德国旧辅币芬尼，一百芬尼合一马克
20B1	比索	菲律宾比索，拉美多国的比索也用这个写法
20B2	瓜拉尼	巴拉圭货币瓜拉尼
20B3	奥斯特拉尔	阿根廷旧货币奥斯特拉尔，后来被比索取代
20B4	格里夫纳	乌克兰货币格里夫纳
20B5	塞地	加纳货币塞地
20B6	图尔里弗	法国中世纪的货币图尔里弗
20B7	斯佩斯米洛	世界语者提出的国际货币单位，第一次世界大战前短暂用过
20B8	坚戈	哈萨克斯坦货币坚戈
20B9	印度卢比	印度专用的卢比，写法与通用卢比不同
20BA	土耳其里拉	土耳其货币里拉，写法与意大利里拉不同
20BB	北欧马克	北欧旧文献里记账用的马克
20BC	马纳特	阿塞拜疆货币马纳特
20BD	卢布	俄罗斯卢布
20BE	拉里	格鲁吉亚货币拉里
20BF	比特币	一种加密货币，不由国家发行
20C0	索姆	吉尔吉斯斯坦货币索姆
2300	直径	圆圈中间穿一条斜线，工程图上标注直径
2301	电气箭头	箭身画成闪电折线的箭头，用在电气场合
2302	房子	尖顶方屋的轮廓，也用来表示主页
2303	控制键	向上的尖角，苹果键盘上代表控制修饰键
2304	下尖角	尖端朝下的角形，与上尖角成对
2305	射影	楔形上加一条横线，射影几何里用
2306	透视	楔形上加两条横线，射影几何里表示透视关系
2307	波浪线	一段上下起伏的波形线条
2308	上取整左	上取整括号的左半边，形如缺了下横的方括号
2309	上取整右	上取整括号的右半边，形如缺了下横的方括号
230A	下取整左	下取整括号的左半边，形如缺了上横的方括号
230B	下取整右	下取整括号的右半边，形如缺了上横的方括号
230C	右下裁切角	印刷排版的裁切定位角，指示版面右下角
230D	左下裁切角	印刷排版的裁切定位角，指示版面左下角
230E	右上裁切角	印刷排版的裁切定位角，指示版面右上角
230F	左上裁切角	印刷排版的裁切定位角，指示版面左上角
2310	反向否定号	逻辑否定号左右翻转，竖钩落在横线左端
2311	方框套菱形	一个正方形里嵌着一个菱形
2312	圆弧	一段拱形弧线，几何里标注圆弧
2313	弓形	几何里的弓形，一条弦和一段弧围成的区域
2314	扇形	几何里的扇形，两条半径和一段弧围成的区域
2315	电话录音	圆圈带一根斜柄，电信标注里表示通话录音
2316	位置度	圆圈中央加一个十字，机械图上标注位置公差
2317	方井号	笔画横平竖直的井字，早期可视图文里代替井号
2318	命令键	四角带环的方结，苹果键盘上的命令键，也是北欧的名胜标志
