# 物理化学与希腊字母。用 Opus 5 逐块重写，单位名以国标中文单位为准。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00B2 207A	二价正	上标 2 正	# SUPERSCRIPT TWO + SUPERSCRIPT PLUS SIGN
00B2 207B	二价负	上标 2 负	# SUPERSCRIPT TWO + SUPERSCRIPT MINUS
00B3 207A	三价正	上标 3 正	# SUPERSCRIPT THREE + SUPERSCRIPT PLUS SIGN
00B3 207B	三价负	上标 3 负	# SUPERSCRIPT THREE + SUPERSCRIPT MINUS
00B5 41	微安
00B5 46	微法
00B5 4C	微升
00B5 56	微伏
00B5 57	微瓦
00B5 67	微克
00B5 6D	微米
00B5 6D 6F 6C	微摩尔
00B5 73	微秒
00B9 207A	一价正	上标 1 正	# SUPERSCRIPT ONE + SUPERSCRIPT PLUS SIGN
00B9 207B	一价负	上标 1 负	# SUPERSCRIPT ONE + SUPERSCRIPT MINUS
0370	赫塔	大写赫塔，古希腊字母，表送气音，与伊塔同源
0371	赫塔	小写赫塔，古希腊字母，表送气音，与伊塔同源
0372	古体桑皮	大写古体桑皮，古希腊字母，表一种嘶擦音，后世的桑皮当数字九百用
0373	古体桑皮	小写古体桑皮，古希腊字母，表一种嘶擦音，后世的桑皮当数字九百用
0374	希腊数字号	加在字母右上的一小撇，表示这个字母当数字读
0375	希腊千位号	加在字母左下的一小撇，表示这个字母代表千位
0376	潘菲利亚狄伽马	大写，古希腊潘菲利亚方言里用的狄伽马字形
0377	潘菲利亚狄伽马	小写，古希腊潘菲利亚方言里用的狄伽马字形
037A	下标约塔	写在长元音底下的小约塔，古希腊文用，本身不出声
037B	反向月牙西格马	小写，弯月形的西格马左右翻转过来
037C	带点月牙西格马	小写，弯月形的西格马当中加一点
037D	反向带点西格马	小写，弯月形西格马左右翻转，当中再加一点
037F	约特	大写约特，希腊文里记半元音的字母，形如带钩的一竖
0384	希腊重音符	加在元音上的一小撇，现代希腊文用来标重读
0385	希腊分音重音符	两点加一撇，既表示分开读，又表示重读
0391	阿尔法	大写阿尔法，两笔斜撇顶端相交，当中一横
0392	贝塔	大写贝塔，一竖右边带两个鼓包
0393	伽马	大写伽马，一横一竖搭成的直角，数学里有伽马函数
0394	德尔塔	大写德尔塔，正三角形，数理中常表增量或差值
0395	艾普西龙	大写艾普西龙，一竖带三道横
0396	泽塔	大写泽塔，上下两横中间一斜
0397	伊塔	大写伊塔，两竖中间一横
0398	西塔	大写西塔，椭圆当中加一横
0399	约塔	大写约塔，就是孤零零一竖
039A	卡帕	大写卡帕，一竖右边一个尖角
039B	兰姆达	大写兰姆达，两笔斜撇搭成人字形
039C	缪	大写缪，形如两座尖峰相连
