# CJK 兼容形式：竖排文本用的标点变体（U+FE30–U+FE4F）。
# 读法直接沿用它横排对应字符的读法，详细档补一句「竖排」以示区别。
# 这一块由 tools 侧机械推导，不经模型：每一条的对应关系来自 Unicode 的兼容分解表。
FE30	两点	竖排文本用的两点
FE31	破折号	竖排文本用的破折号
FE32	短破折号	竖排文本用的短破折号
FE33	下划线	竖排文本用的下划线，直的
FE34	波浪下划线	竖排文本用的下划线，波浪形
FE35	左圆括号	竖排文本用的圆括号左半
FE36	右圆括号	竖排文本用的圆括号右半
FE37	左花括号	竖排文本用的花括号左半
FE38	右花括号	竖排文本用的花括号右半
FE39	左六角括号	竖排文本用的左六角括号
FE3A	右六角括号	竖排文本用的右六角括号
FE3B	左方头括号	竖排文本用的左方头括号
FE3C	右方头括号	竖排文本用的右方头括号
FE3D	左书名号	竖排文本用的左书名号
FE3E	右书名号	竖排文本用的右书名号
FE3F	左单书名号	竖排文本用的左单书名号
FE40	右单书名号	竖排文本用的右单书名号
FE45	着重号	竖排文本里点在字旁的着重号，实心
FE46	空心着重号	竖排文本里点在字旁的着重号，空心
FE47	左方括号	竖排文本用的方括号左半
FE48	右方括号	竖排文本用的方括号右半
FE49	虚上划线	由短横拼成的上划线
FE4A	上划线	画成实线的上划线
FE4B	波浪上划线	波浪形的上划线
FE4C	双波浪上划线	两道波浪叠起来的上划线
FE4D	虚下划线	由短横拼成的下划线
FE4E	中线下划线	画在字中线高度的下划线
FE4F	波浪线	波浪形的下划线，与竖排波浪下划线同形不同用
